university,degree,course_name,exam_weight,degree_clean
IE,BAM,ALGORITHMS,75.0,Applied Mathematics
IE,BAM,PARTIAL DIFFERENTIAL EQUATIONS,80.0,Applied Mathematics
IE,BAM,CALCULUS 1,75.0,Applied Mathematics
IE,BAM,COMMUNICATION SKILLS,0.0,Applied Mathematics
IE,BAM,COMPUTER PROGRAMMING 1,60.0,Applied Mathematics
IE,BAM,DISCRETE MATHEMATICS,80.0,Applied Mathematics
IE,BAM,GEOMETRY,70.0,Applied Mathematics
IE,BAM,LINEAR ALGEBRA,70.0,Applied Mathematics
IE,BAM,MACHINE LEARNING,60.0,Applied Mathematics
IE,BAM,NUMERICAL METHODS,75.0,Applied Mathematics
IE,BAM,ORDINARY DIFFERENTIAL EQUATIONS,80.0,Applied Mathematics
IE,BAM,OPTIMIZATION I,70.0,Applied Mathematics
IE,BAM,APPROXIMATION,70.0,Applied Mathematics
IE,BAM,CALCULUS 2,70.0,Applied Mathematics
IE,BAM,COMPUTER PROGRAMMING 2,70.0,Applied Mathematics
IE,BAM,DATA BASES,60.0,Applied Mathematics
IE,BAM,DATA VISUALIZATION,30.0,Applied Mathematics
IE,BAM,MATHEMATICAL MODELING,60.0,Applied Mathematics
IE,BAM,OPTIMIZATION II,70.0,Applied Mathematics
IE,BAM,PROBABILITY AND STATISTICS,70.0,Applied Mathematics
IE,BAM,STATISTICAL MODELING,60.0,Applied Mathematics
IE,BAM,BAYESIAN STATISTICS AND STOCHASTIC,60.0,Applied Mathematics
IE,BAM,DEEP LEARNING,70.0,Applied Mathematics
IE,BAM,NONLINEAR DYNAMICS,70.0,Applied Mathematics
IE,BAM,NUMERICAL LINEAR ALGEBRA,75.0,Applied Mathematics
IE,BAM,OPTIMIZATION III,70.0,Applied Mathematics
IE,BAS,ALTERNATIVE PRACTICES: DESIGN,0.0,Architecture
IE,BAS,ALTERNATIVE PRACTICES: DIGITAL STUDIES,0.0,Architecture
IE,BAS,ALTERNATIVE PRACTICES: LANDSCAPE AND,0.0,Architecture
IE,BAS,ALTERNATIVE PRACTICES: RESEARCH METHODS,0.0,Architecture
IE,BAS,ALTERNATIVE PRACTICES: URBAN,0.0,Architecture
IE,BAS,APPLIED MATHEMATICS IN ARCHITECTURE 1,40.0,Architecture
IE,BAS,APPLIED MATHEMATICS IN ARCHITECTURE 2,50.0,Architecture
IE,BAS,APPLIED PHYSICS IN ARCHITECTURE 2,85.0,Architecture
IE,BAS,ARCHITECTURAL GEOMETRY 2,30.0,Architecture
IE,BAS,ARCHITECTURAL HISTORY AND THEORY 1,35.0,Architecture
IE,BAS,ARCHITECTURAL HISTORY AND THEORY 2,40.0,Architecture
IE,BAS,ARCHITECTURAL HISTORY AND THEORY 3,45.0,Architecture
IE,BAS,ARCHITECTURE HISTORIES AND CONTEXTS,50.0,Architecture
IE,BAS,ADVANCED ARCHITECTURAL GRAPHICS,0.0,Architecture
IE,BAS,ADVANCED TECHNICAL STUDIES,0.0,Architecture
IE,BAS,ADVANCED STRUCTURES AND FOUNDATIONS,50.0,Architecture
IE,BAS,APPLIED PHYSICS IN ARCHITECTURE 1,70.0,Architecture
IE,BAS,ARCHITECTURAL GEOMETRY 1,30.0,Architecture
IE,BAS,ARCHITECTURAL HISTORY AND THEORY 4,0.0,Architecture
IE,BAS,CONSTRUCTION SYSTEMS AND APPLICATIONS 1,0.0,Architecture
IE,BAS,CONSTRUCTION SYSTEMS AND APPLICATIONS 3,0.0,Architecture
IE,BAS,CONSTRUCTION SYSTEMS AND APPLICATIONS 4,0.0,Architecture
IE,BAS,DESIGN STUDIO 1: IDEA AND FORM,0.0,Architecture
IE,BAS,DESIGN STUDIO 3: EXPERIENCE,0.0,Architecture
IE,BAS,DESIGN STUDIO 4: PROGRAM,0.0,Architecture
IE,BAS,DESIGN STUDIO 5: TECHNIQUE,0.0,Architecture
IE,BAS,DESIGN STUDIO 6: THE EXISTING,0.0,Architecture
IE,BAS,DESIGN STUDIO 7: AGREGATION,0.0,Architecture
IE,BAS,DESIGN ENTREPRENEURSHIP WORKSHOP 3,0.0,Architecture
IE,BAS,DIGITAL TOOLS AND OPERATIONS 1,0.0,Architecture
IE,BAS,DESIGN STUDIO 9: SYNTHESIS,0.0,Architecture
IE,BAS,DESIGN ENTREPRENEURSHIP WORKSHOP 1,0.0,Architecture
IE,BAS,DESIGN ENTREPRENEURSHIP WORKSHOP 2,0.0,Architecture
IE,BAS,DESIGN STUDIO 2: FORM AND MATERIAL,0.0,Architecture
IE,BAS,DESIGN STUDIO 8: TERRITORY,0.0,Architecture
IE,BAS,DIGITAL TOOLS AND OPERATIONS 2,0.0,Architecture
IE,BAS,ENVIRONMENTAL SYSTEMS AND STRATEGIES 1,20.0,Architecture
IE,BAS,ENVIRONMENTAL SYSTEMS AND STRATEGIES 2,20.0,Architecture
